time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1776228505965751300,0.092751220703125,-2.316982133898987,-0.10323045253513456,0.8984029550814053,0.07041694222094161,-0.39979806580908767,0.14958987865323822,0.3589877042631588
1776228505985603000,0.11260302734375,-2.3167139943567117,-0.10468851455391286,0.8977479245813469,0.07081095842958371,-0.3998172008690291,0.15243103871849664,0.3654844994437352
1776228506005454300,0.132454345703125,-2.3236863792236506,-0.10400195018389329,0.898870961262393,0.068692592305062,-0.39643665241192616,0.15508890532588732,0.3696297326117724
1776228506025306000,0.15230615234375,-2.329096048962127,-0.10207436037891512,0.8998398982124889,0.06367282527201525,-0.3935258701412379,0.15813387365565193,0.3735556196063237
1776228506045158100,0.172158203125,-2.332729664199794,-0.09986900158952447,0.9004760616060572,0.0576549945641737,-0.391313758343935,0.16137686534142065,0.37770933330310225
1776228506065009200,0.192009033203125,-2.3354068241680173,-0.09843083725307565,0.9007538703255612,0.052695710109684185,-0.3895724606183205,0.16488506403558556,0.3830310671863579
1776228506084861200,0.211861083984375,-2.3379122918242476,-0.09872767355159526,0.9006326105123358,0.050607333308949336,-0.38807202397246165,0.168860442822311,0.3906497981989037
1776228506104713200,0.231713134765625,-2.3404257629334846,-0.1018451514196525,0.8999957229277643,0.05376067703740519,-0.38694090744536225,0.1729508063246211,0.400768521653219
1776228506124564200,0.251564208984375,-2.342141878424655,-0.10717113065284364,0.8987745167466449,0.060933922732449075,-0.3864810085663457,0.17706280461796994,0.41273732217193637
1776228506144416000,0.271416015625,-2.343235615374294,-0.11219676087125445,0.8972887780050565,0.06670357620130762,-0.3861545171290437,0.18212470781297502,0.4262810014622388
1776228506164267300,0.291267333984375,-2.3435764862357193,-0.11601533302671019,0.8956688645127147,0.06921730123548377,-0.3858473373114765,0.18825419753860556,0.4409018713875001
1776228506184119300,0.311119384765625,-2.3430658793286288,-0.11881349792570872,0.8940170243867537,0.06949846952797364,-0.385713467848279,0.19453007040672865,0.45502227451074745
1776228506203971000,0.33097119140625,-2.3435126525438026,-0.12119455673139976,0.89272785902644,0.06991420737668955,-0.38520776826066716,0.19990971520424836,0.46710143017539457
1776228506223822000,0.350822021484375,-2.3463868108999435,-0.12401983351663907,0.8919970829445886,0.07292172610008779,-0.38394731658805287,0.20382534519922815,0.4767087877681288
1776228506243674400,0.37067431640625,-2.3506637045213763,-0.1274075467829633,0.8915491299436658,0.07821458489713291,-0.38235129556701125,0.20667602119905878,0.4847108485466334
1776228506263526100,0.390526123046875,-2.3555798782123483,-0.1298299124298236,0.8913210293426297,0.08153832191219894,-0.3802781181817093,0.20995158871416172,0.49270569012744675
1776228506283377200,0.410377197265625,-2.3610261294065165,-0.130406755611512,0.8913905392544883,0.08074036419627643,-0.3775255211470461,0.2142229618775863,0.5010838215920388
1776228506303229400,0.4302294921875,-2.3661867276810575,-0.1296140251842888,0.891575243321402,0.07681385855477217,-0.3745479120275475,0.2191066533747118,0.5095603076202823
1776228506323081200,0.450081298828125,-2.371407772447188,-0.12943202813697297,0.8917332170734935,0.07463438730970315,-0.37174174252374037,0.22330984854833597,0.5172551029364313
