time,seconds_elapsed,relativeAltitude,pressure
1776223423822488600,-0.473511474609375,0,960.7905578613281
1776223424852115700,0.55611572265625,-0.01849365234375,960.7925415039062
1776223425881783600,1.585783447265625,-0.034332275390625,960.7945251464844
1776223426911470600,2.615470703125,-0.042266845703125,960.7953643798828
1776223427941155300,3.6451552734375,-0.05548095703125,960.7968902587891
1776223428137668600,3.841668701171875,-0.095123291015625,960.8013916015625
1776223429200658400,4.904658447265625,-0.10040283203125,960.8021545410156
1776223430263533600,5.967533447265625,-0.113616943359375,960.8034515380859
1776223431326410500,7.030410400390625,-0.132110595703125,960.8055877685547
1776223432389305600,8.0933056640625,-0.150604248046875,960.8078002929688
1776223433452189400,9.156189453125,-0.150604248046875,960.8078002929688
1776223434515034400,10.219034423828125,-0.147979736328125,960.8074951171875
1776223435577902600,11.281902587890626,-0.147979736328125,960.8074951171875
1776223436640806400,12.344806396484374,-0.124176025390625,960.8046722412109
1776223437703744800,13.407744873046875,-0.124176025390625,960.8046722412109
1776223438766696400,14.470696533203125,-0.124176025390625,960.8049011230469
1776223439829552600,15.533552734375,-0.124176025390625,960.8049011230469
1776223440892382700,16.5963828125,-0.124176025390625,960.8049011230469
1776223441955273700,17.659273681640624,-0.124176025390625,960.8049011230469
1776223443018146600,18.722146484375,-0.124176025390625,960.8049011230469
1776223444080974600,19.784974609375,-0.113616943359375,960.8036041259766
1776223445143788500,20.84778857421875,-0.105682373046875,960.8026123046875
1776223446206596600,21.9105966796875,-0.087188720703125,960.8004760742188
1776223447269431600,22.973431640625,-0.073974609375,960.7989501953125
1776223448332301600,24.036301513671877,-0.066070556640625,960.7980346679688
1776223449395156700,25.09915673828125,-0.050201416015625,960.7963562011719
1776223450458045400,26.16204541015625,-0.050201416015625,960.7963562011719
1776223451520904400,27.224904541015626,-0.07135009765625,960.7985687255859
1776223452583743500,28.287743408203124,-0.079254150390625,960.7996368408203
1776223453646620400,29.350620361328126,-0.079254150390625,960.7996368408203
1776223454709468700,30.41346875,-0.076629638671875,960.7994842529297
1776223455772389600,31.4763896484375,-0.073974609375,960.7988739013672
1776223456835233500,32.539233642578125,-0.060760498046875,960.7974243164062
1776223457898076400,33.60207641601563,-0.058135986328125,960.7972717285156
1776223458960885500,34.66488549804688,-0.042266845703125,960.7952880859375
1776223460023691800,35.72769189453125,-0.042266845703125,960.7952880859375
1776223461086505700,36.79050561523437,-0.031707763671875,960.7940673828125
1776223462149367600,37.85336743164063,-0.021148681640625,960.7929992675781
1776223463212231700,38.91623168945313,-0.021148681640625,960.7929992675781
1776223464275046700,39.97904663085937,-0.029052734375,960.7937622070312
1776223465337859600,41.041859619140624,-0.034332275390625,960.7944488525391
1776223466400641500,42.1046416015625,-0.044921875,960.7956695556641
1776223467463381500,43.167381591796875,-0.0528564453125,960.7965087890625
1776223468526099500,44.23009936523437,-0.0528564453125,960.7965087890625
1776223469588789500,45.29278955078125,-0.04754638671875,960.7959747314453
1776223470651529500,46.35552954101563,-0.0369873046875,960.794677734375
1776223471714235600,47.41823559570312,-0.029052734375,960.7938385009766
1776223472776989400,48.480989501953125,-0.023773193359375,960.7933807373047
1776223473839851500,49.5438515625,-0.01849365234375,960.7925415039062
1776223474902692600,50.60669262695313,-0.01849365234375,960.7925415039062
1776223475965461500,51.66946142578125,-0.015838623046875,960.7923126220703
1776223477028226600,52.7322265625,-0.015838623046875,960.7923126220703
1776223478091049500,53.79504956054687,-0.029052734375,960.7938385009766
1776223479153837600,54.85783764648438,-0.029052734375,960.7938385009766
1776223480216590600,55.920590576171875,-0.031707763671875,960.7942199707031
1776223481279411500,56.98341137695313,-0.034332275390625,960.7945251464844
1776223482342177500,58.04617749023438,-0.034332275390625,960.7945251464844
1776223483404990500,59.10899047851562,-0.034332275390625,960.7945251464844
