time,seconds_elapsed,z,y,x
1776228623921082600,0.08108251953125,-8.779919765108824,-4.259209057833254,0.9708378864731639
1776228623940933600,0.10093359375,-8.783363768082857,-4.254944386126101,0.9583056640930473
1776228623960783600,0.12078369140625,-8.807257269367575,-4.2147479848161336,0.9156975985314697
1776228623980634600,0.140634521484375,-8.832804383078217,-4.174037204243242,0.8540288586691022
1776228624000485600,0.160485595703125,-8.846355938568712,-4.157701570992171,0.7911301386203616
1776228624020336600,0.180336669921875,-8.843435667207837,-4.171475537061691,0.7502144100598991
1776228624040186600,0.2001865234375,-8.825798303708433,-4.20608244780153,0.7645542663838714
1776228624060037600,0.22003759765625,-8.795829281902313,-4.25395712865442,0.8411981647990644
1776228624079889000,0.239888916015625,-8.751720091062783,-4.317716776381433,0.9670080990519374
1776228624099739000,0.25973876953125,-8.688463132160901,-4.407395001479983,1.1206539886049927
1776228624119590000,0.27958984375,-8.608528594702483,-4.5223947148397565,1.2694731155887244
1776228624139441000,0.29944091796875,-8.524595927518606,-4.636673712709546,1.4152395770035684
1776228624159291000,0.319290771484375,-8.44774825015962,-4.730833174875379,1.557289063721895
1776228624179141600,0.3391416015625,-8.39073749217093,-4.794675824710726,1.6664293835289776
1776228624198992600,0.35899267578125,-8.357074876543878,-4.828947804407775,1.735209051375091
1776228624218842600,0.378842529296875,-8.334037699827551,-4.832001054498553,1.8346575598597525
1776228624238693600,0.398693603515625,-8.311271741268039,-4.8112063960120075,1.9863123486608265
1776228624258544600,0.418544677734375,-8.268281909847259,-4.7753334108591075,2.236536378894001
1776228624278395600,0.438395751953125,-8.185152375739813,-4.727389171901345,2.612556534050405
1776228624298245600,0.45824560546875,-8.07213916002214,-4.672123211753368,3.0302178824976083
1776228624318096600,0.4780966796875,-7.996199829679727,-4.582970471833646,3.3507544892325996
1776228624337947600,0.49794775390625,-7.98923817397356,-4.433353326340019,3.561998946599662
1776228624357797600,0.517797607421875,-8.053725551453232,-4.2179882819116115,3.676474928346276
1776228624377649000,0.53764892578125,-8.174159857082367,-3.977309932528436,3.6789269976735115
1776228624397500000,0.5575,-8.32490220721364,-3.7425925373762845,3.5859988308683035
1776228624417350000,0.577349853515625,-8.455622929057478,-3.522506894166767,3.5021097105652093
1776228624437201000,0.597200927734375,-8.535137195277214,-3.36072146423459,3.468049035531282
1776228624457051600,0.6170517578125,-8.555174605655669,-3.261376708385348,3.513230824038386
1776228624476902000,0.63690185546875,-8.576523683154582,-3.1418685776904223,3.5696333870008585
1776228624496752600,0.656752685546875,-8.611452373194695,-2.9582267052590847,3.641725686526298
1776228624516603600,0.676603759765625,-8.635155320343374,-2.7380811485558745,3.7559813035205005
1776228624536453600,0.69645361328125,-8.65073575131297,-2.507605044235289,3.879055894525349
1776228624556304600,0.7163046875,-8.707506270805,-2.2314615598477423,3.9204970351994035
1776228624576155600,0.73615576171875,-8.802181281277537,-1.9036799504205584,3.881751417219639
1776228624596006700,0.756006591796875,-8.885495524302124,-1.6821688044525682,3.7932387287691234
1776228624615856600,0.775856689453125,-8.92407163093388,-1.6199072863288222,3.729240303850174
1776228624635707600,0.795707763671875,-8.956773292574287,-1.6255295101247726,3.6474993014916777
1776228624655559000,0.815558837890625,-9.000029081454873,-1.647737250279635,3.5291391717880964
1776228624675408600,0.83540869140625,-9.021062517133355,-1.7375705198094247,3.430986256071925
1776228624695259600,0.855259765625,-9.027762891554833,-1.843965194170177,3.357033131110668
1776228624715110700,0.875110595703125,-9.047678721380233,-1.7942236965321003,3.330264658911526
1776228624734960600,0.894960693359375,-9.105431822168827,-1.6287211457729338,3.257109990851581
1776228624754811600,0.914811767578125,-9.228405875408649,-1.5687122288815676,2.9233623126268387
1776228624774662400,0.934662353515625,-9.402598659232257,-1.568365753531456,2.3025534501589835
1776228624794512400,0.954512451171875,-9.560114449021219,-1.435800865125656,1.6471389921255408
1776228624814363400,0.97436328125,-9.6176471850574,-1.270909139741212,1.4338887478940188
1776228624834214400,0.99421435546875,-9.571476970034837,-1.3144976677075029,1.6820546765536069
1776228624854064400,1.014064453125,-9.491605560940503,-1.5465594337843358,1.9204064826853573
1776228624873915400,1.033915283203125,-9.447606260216235,-1.6403094383664427,2.054874282103032
1776228624893766400,1.053766357421875,-9.429874204170703,-1.4902331509284674,2.242111987069249
1776228624913616400,1.073616455078125,-9.396372332063317,-1.2899829657845199,2.492894089576602
1776228624933467400,1.09346728515625,-9.386773313590883,-1.171796658277884,2.585685185998678
1776228624953318400,1.113318359375,-9.409473221176862,-1.1403391514796763,2.5163117900431153
1776228624973168400,1.13316845703125,-9.406483976233005,-1.2420935257539152,2.4790415053129196
1776228624993019600,1.15301953125,-9.353222341644763,-1.4509111943654716,2.565632870312035
1776228625012870700,1.17287060546875,-9.275851517194509,-1.6929954650238155,2.6949454789236187
1776228625032721400,1.192721435546875,-9.234024884334206,-1.9571825541578232,2.659436943168938
1776228625052571600,1.212571533203125,-9.229925632321834,-2.1935097225941718,2.4834189897447825
1776228625072422400,1.23242236328125,-9.239479642608762,-2.2149160832382737,2.4282798708468674
1776228625092273400,1.2522734375,-9.217534352782367,-2.051972130920738,2.6451573656648395
1776228625112123400,1.272123291015625,-9.136725955098868,-2.059952754411101,2.9064094242602585
1776228625131974400,1.291974365234375,-9.064867172068357,-2.4089044315084815,2.86282162694633
1776228625151825400,1.311825439453125,-8.967410421922802,-2.844363886974752,2.768668302260339
1776228625171675400,1.33167529296875,-8.812791522619127,-3.136891666060686,2.943637331153452
1776228625191526400,1.3515263671875,-8.619761351856589,-3.434045059120655,3.174497174094617
1776228625211377400,1.37137744140625,-8.411515491783618,-3.86703432508111,3.2346304480180144
1776228625231227400,1.391227294921875,-8.253595212846994,-4.306574327859282,3.082526746405661
1776228625251078400,1.411078369140625,-8.153533248639107,-4.610921724076569,2.903392414526641
1776228625270929700,1.4309296875,-8.071021554169059,-4.780838438016176,2.8587717670336366
1776228625290779400,1.450779296875,-8.004684164908529,-4.907803022196888,2.8299983847528694
1776228625310630700,1.470630615234375,-7.956784934136271,-5.051210791656374,2.71020822224617
1776228625330481400,1.4904814453125,-7.890145347058772,-5.22291234318614,2.576273799052834
1776228625350331600,1.51033154296875,-7.771779079875349,-5.4676703630983825,2.423718992672115
1776228625370182400,1.530182373046875,-7.599863593333959,-5.779268461096287,2.2388627760149538
1776228625390033400,1.550033447265625,-7.409104290112853,-6.0919198675394055,2.040603910818696
