time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1776228623921082600,0.08108251953125,-0.4356686626067779,-0.22875757502500615,0.1983963865558076,0.11012741608891316,-0.9530425733828838,-0.0043169940777211336,0.4492815147249615
1776228623940933600,0.10093359375,-0.4275884235962474,-0.22836791518888236,0.1947343371603233,0.10867477666782134,-0.9538895818970385,-0.004601074469875569,0.44879876935746577
1776228623960783600,0.12078369140625,-0.42070086223502146,-0.22570539544541957,0.1922442484154773,0.10359857616255355,-0.9550326729782727,-0.0034522606950422976,0.4442543175011441
1776228623980634600,0.140634521484375,-0.41549764463358574,-0.22282535230242032,0.19078067207137173,0.09638868064262693,-0.9560076138230116,-0.0010801000783675029,0.4396616768588357
1776228624000485600,0.160485595703125,-0.4108296555384108,-0.22126600121530204,0.18942930801665275,0.08919278161165545,-0.9566374913818216,0.0016493757610784583,0.43782164406616747
1776228624020336600,0.180336669921875,-0.4061579151313397,-0.22158110087522334,0.18763313651276128,0.08463028290806332,-0.9569135267565892,0.00347541065738458,0.439373008531439
1776228624040186600,0.2001865234375,-0.40190189555088307,-0.22361356002315927,0.18523319556145262,0.08641148701933053,-0.9569113077339574,0.0025490717424390837,0.4432758816853418
1776228624060037600,0.22003759765625,-0.40010065991823,-0.22701454909352742,0.18312852925757814,0.09534604606685966,-0.9565178710597121,-0.0013761699945731391,0.4486870465593244
1776228624079889000,0.239888916015625,-0.40199395930692616,-0.23179955870893307,0.182008931581899,0.11004709009687698,-0.9555554873425113,-0.007444989576043553,0.45591559342485016
1776228624099739000,0.25973876953125,-0.40602523063208334,-0.23832384744280413,0.18126770401527567,0.12827364513650513,-0.954007509667456,-0.014608938345256372,0.46612629431807967
1776228624119590000,0.27958984375,-0.4109216728202368,-0.2462421857614816,0.1806613703915013,0.1464116737376465,-0.9519844255381019,-0.021259447703228334,0.4792974795846678
1776228624139441000,0.29944091796875,-0.41573420144296724,-0.25414884282297007,0.17987416979606885,0.1645178451015823,-0.9498835768966265,-0.027837440575035104,0.4924760581622734
1776228624159291000,0.319290771484375,-0.42397294193628243,-0.2610151154678942,0.18076466542060926,0.18229709018115395,-0.9476494608179471,-0.03399710082476923,0.5034047665893762
1776228624179141600,0.3391416015625,-0.43860171804174025,-0.2660230562039609,0.1853434173506398,0.19605235263214316,-0.9452282130773741,-0.037724889710079604,0.5108522616233846
1776228624198992600,0.35899267578125,-0.45510232858423105,-0.26902836589002604,0.19167155656927204,0.20472462071786351,-0.9430558394671865,-0.03913443485101091,0.5148630143294357
1776228624218842600,0.378842529296875,-0.47207475705086444,-0.2707059538040905,0.19802454208621337,0.2166841248421856,-0.9411185157912074,-0.042433637389243294,0.5152207655616949
