time,seconds_elapsed,z,y,x
1776228781828983000,0.072983154296875,-8.82931069574356,-4.202267857949435,0.7447177123397588
1776228781848834000,0.092833984375,-8.717965705499052,-4.428526052314043,0.7453923967309296
1776228781868684000,0.11268408203125,-8.642589854258299,-4.560792250034213,0.8217015102338046
1776228781888535000,0.13253515625,-8.605310217177868,-4.607751861868798,0.9421492598664015
1776228781908386000,0.152385986328125,-8.607192962184548,-4.586289679384231,1.0259460257109254
1776228781928237000,0.172237060546875,-8.63805396439433,-4.52980148396492,1.017499903600663
1776228781948087000,0.192087158203125,-8.67078485212922,-4.475665404629707,0.97790176044479
1776228781967938300,0.211938232421875,-8.677284151020645,-4.447051596824824,1.0482624869372694
1776228781987789000,0.2317890625,-8.652349031728505,-4.461877410034835,1.182746214576438
1776228782007640000,0.25164013671875,-8.613043441778421,-4.480304462607204,1.383017661704123
1776228782027491000,0.271490966796875,-8.610434720584749,-4.423298965315521,1.5701039755009114
1776228782047341000,0.291341064453125,-8.679764277398586,-4.233180298085511,1.706535476206988
1776228782067192000,0.311192138671875,-8.768535032263397,-3.964348159624636,1.8886806803397833
1776228782087043000,0.33104296875,-8.83518806334436,-3.6913419503495093,2.1175047796696425
1776228782106894000,0.35089404296875,-8.872695663961768,-3.462184527412057,2.336436284407973
1776228782126745000,0.3707451171875,-8.85396758261621,-3.2727672864496706,2.6583146611407398
1776228782146595000,0.390594970703125,-8.742012936040759,-3.122652128306031,3.1617461213320492
1776228782166446000,0.410446044921875,-8.52977303789556,-3.059051470533013,3.749075469654798
1776228782186297000,0.430297119140625,-8.287917169165611,-3.069210460975766,4.249795040538907
1776228782206148000,0.450148193359375,-8.039532190927863,-3.119475836357474,4.669600707538426
1776228782225998000,0.469998046875,-7.76968882959783,-3.220141903938353,5.043114578962326
1776228782245849000,0.48984912109375,-7.547301631447672,-3.3593153968289493,5.2842818809062235
1776228782265700000,0.5097001953125,-7.370394327968358,-3.499362457683682,5.440784109738469
1776228782285551000,0.529551025390625,-7.266359952998161,-3.659852294847369,5.47502247942686
1776228782305402000,0.549402099609375,-7.289884036448598,-3.8725682860717177,5.294449639177322
1776228782325252000,0.569252197265625,-7.3928458137512205,-4.179149724951386,4.904174310305715
1776228782345103000,0.58910302734375,-7.449296599769592,-4.604524716515839,4.413243142986297
1776228782364954000,0.6089541015625,-7.375561501473188,-5.11524574919343,3.950411111947894
1776228782384804900,0.628804931640625,-7.178697451636195,-5.654763545027375,3.558137010474503
1776228782404656000,0.64865625,-6.8689435202002525,-6.18922639555931,3.268253023895621
1776228782424506000,0.668506103515625,-6.452935199657082,-6.68239160554111,3.142555098649859
1776228782444357000,0.688357177734375,-5.9691796230554575,-7.0940849854946135,3.1958149796724316
1776228782464208100,0.7082080078125,-5.499065033793449,-7.3856141089320175,3.3739261059835552
1776228782484059100,0.72805908203125,-5.144641355025768,-7.53579824065864,3.59371715016067
