time,seconds_elapsed,relativeAltitude,pressure
1776228781277042700,-0.478957275390625,0,958.1327819824219
1776228782307245800,0.551245849609375,-0.031707763671875,958.1365203857422
1776228783337381600,1.581381591796875,-0.066070556640625,958.1402587890625
1776228784367527700,2.611527587890625,-0.105712890625,958.1447601318359
1776228785397712000,3.6417119140625,-0.158538818359375,958.1509399414062
1776228785593468700,3.83746875,-0.166473388671875,958.1517791748047
1776228786656767500,4.900767578125,-0.17706298828125,958.153076171875
1776228787720100600,5.9641005859375,-0.1876220703125,958.154296875
1776228788783466500,7.027466552734375,-0.192901611328125,958.1548309326172
1776228789846869800,8.090869873046875,-0.192901611328125,958.1548309326172
1776228790910289700,9.15428955078125,-0.1796875,958.1535339355469
1776228791973712600,10.217712646484374,-0.1796875,958.1535339355469
1776228793037138700,11.281138671875,-0.1796875,958.1535339355469
1776228794100542500,12.34454248046875,-0.182342529296875,958.1536865234375
1776228795163936500,13.4079365234375,-0.182342529296875,958.1536102294922
1776228796227394600,14.47139453125,-0.182342529296875,958.1536102294922
