time,seconds_elapsed,z,y,x
1776232774673214700,0.079214599609375,-0.823150634765625,-0.2707977294921875,-0.523223876953125
1776232774693069800,0.09906982421875,-0.838958740234375,-0.2667083740234375,-0.54217529296875
1776232774712924700,0.118924560546875,-0.8160247802734375,-0.25994873046875,-0.5492706298828125
1776232774732780800,0.13878076171875,-0.7962799072265625,-0.227691650390625,-0.5495758056640625
1776232774752635600,0.1586357421875,-0.7596435546875,-0.2269134521484375,-0.542938232421875
1776232774772490800,0.17849072265625,-0.7848358154296875,-0.251312255859375,-0.561737060546875
1776232774792345900,0.198345947265625,-0.7781219482421875,-0.2552947998046875,-0.557281494140625
1776232774812201700,0.21820166015625,-0.7781219482421875,-0.2577056884765625,-0.575347900390625
1776232774832056800,0.238056884765625,-0.797119140625,-0.206024169921875,-0.557098388671875
1776232774851911700,0.25791162109375,-0.7508544921875,-0.248199462890625,-0.565338134765625
1776232774871766500,0.2777666015625,-0.7369842529296875,-0.2349700927734375,-0.579864501953125
1776232774891621600,0.29762158203125,-0.7349395751953125,-0.2188262939453125,-0.605224609375
1776232774911477500,0.3174775390625,-0.79833984375,-0.211578369140625,-0.57659912109375
1776232774931332600,0.33733251953125,-0.7468109130859375,-0.2202911376953125,-0.5696563720703125
1776232774951187700,0.357187744140625,-0.739898681640625,-0.2022705078125,-0.5749969482421875
1776232774971042600,0.37704248046875,-0.76947021484375,-0.2190704345703125,-0.66845703125
1776232774990898700,0.396898681640625,-0.7569427490234375,-0.1957244873046875,-0.642730712890625
1776232775010753500,0.41675341796875,-0.771209716796875,-0.1788787841796875,-0.6368408203125
1776232775030608600,0.436608642578125,-0.804901123046875,-0.1791534423828125,-0.613525390625
1776232775050463700,0.456463623046875,-0.7675018310546875,-0.154022216796875,-0.5930023193359375
1776232775070319600,0.476319580078125,-0.8175506591796875,-0.1289215087890625,-0.613800048828125
1776232775090174700,0.4961748046875,-0.7912445068359375,-0.14068603515625,-0.621246337890625
1776232775110029800,0.51602978515625,-0.756439208984375,-0.1420745849609375,-0.610809326171875
1776232775129884700,0.535884765625,-0.77130126953125,-0.13641357421875,-0.599853515625
1776232775149739800,0.55573974609375,-0.7969512939453125,-0.1226959228515625,-0.5872039794921875
1776232775169596200,0.57559619140625,-0.8400115966796875,-0.144439697265625,-0.578643798828125
1776232775189451300,0.595451171875,-0.837127685546875,-0.138336181640625,-0.515899658203125
1776232775209306400,0.615306396484375,-0.7984771728515625,-0.157958984375,-0.52667236328125
1776232775229161000,0.635160888671875,-0.8282470703125,-0.154754638671875,-0.556427001953125
1776232775249017300,0.655017333984375,-0.8510894775390625,-0.1644134521484375,-0.5282135009765625
1776232775268872000,0.674871826171875,-0.8217926025390625,-0.1739044189453125,-0.5204315185546875
1776232775288727000,0.69472705078125,-0.82275390625,-0.1743927001953125,-0.5633697509765625
