time,seconds_elapsed,z,y,x
1776232774705477600,0.1114775390625,-7.774368511846661,-2.523126730754971,-5.4188014105111355
1776232774725332700,0.131332763671875,-7.752965073812008,-2.531800451076031,-5.445356239959597
1776232774745187800,0.151187744140625,-7.753570053967833,-2.5302543906778094,-5.445213616618513
1776232774765042700,0.171042724609375,-7.745342908370494,-2.5107854278370736,-5.465894585597515
1776232774784898800,0.19089892578125,-7.723785741078853,-2.4915643022775646,-5.505054629597067
1776232774804753700,0.210753662109375,-7.70547734645009,-2.4596242726594206,-5.544930712911486
1776232774824608500,0.2306083984375,-7.673820225426554,-2.4180605285190047,-5.606768452665209
1776232774844463600,0.250463623046875,-7.6387646941363805,-2.3851307572111486,-5.668403947845101
1776232774864319700,0.27031982421875,-7.6173150788724415,-2.337666556855291,-5.716835678058862
1776232774884174600,0.290174560546875,-7.5882351148605345,-2.2751700609318912,-5.780369700336456
1776232774904029700,0.31002978515625,-7.545175725334882,-2.219244175570458,-5.857957382407784
1776232774923884500,0.329884521484375,-7.522340793192386,-2.1630252986118195,-5.908138586637377
1776232774943740700,0.34974072265625,-7.532458867102861,-2.0919490442611277,-5.920827972340583
1776232774963595500,0.369595458984375,-7.561538246592879,-2.0147562067262825,-5.910522266903519
1776232774983450600,0.38945068359375,-7.59189772902131,-1.9565116691589355,-5.891140690085291
1776232775003305700,0.4093056640625,-7.628202383589744,-1.9079212412521243,-5.860097317045927
1776232775023160600,0.42916064453125,-7.671537667447328,-1.8733968942292034,-5.814488827559352
1776232775043016700,0.4490166015625,-7.7215996292114255,-1.8481152995869516,-5.756018518412112
1776232775062871800,0.468871826171875,-7.753992663294077,-1.8158897310256956,-5.722633550682664
1776232775082726700,0.4887265625,-7.778197130224108,-1.782546556611359,-5.700224734997749
1776232775102581800,0.508581787109375,-7.809609336575865,-1.7508662008427083,-5.666997588178515
1776232775122437600,0.528437744140625,-7.849391896387934,-1.712436516944319,-5.623610281872749
1776232775142292700,0.548292724609375,-7.898316378554702,-1.6701701774924993,-5.567540604126453
1776232775162148400,0.5681484375,-7.934423464724421,-1.6208295157402752,-5.530661949062347
1776232775182003200,0.588003173828125,-7.954094964399934,-1.580171049876511,-5.514147452113032
1776232775201858000,0.607858154296875,-7.982135648491978,-1.537810017878562,-5.485529844915867
1776232775221714200,0.627714111328125,-8.015767284458875,-1.484831730276346,-5.450975248885155
