time,seconds_elapsed,z,y,x
1776228567981186600,0.0761865234375,-9.744935009843111,-0.9398262237463146,-0.5686451426515355
1776228568001037600,0.09603759765625,-9.750889534333348,-0.8403680706504731,-0.6199360251560807
1776228568020888600,0.115888671875,-9.761880299425124,-0.6366369845882057,-0.6861257495742291
1776228568040739600,0.135739501953125,-9.77121394495964,-0.3286548851303756,-0.7653413251083344
1776228568060590600,0.155590576171875,-9.764873636022209,0.021343924116471315,-0.9039752312295138
1776228568080441600,0.175441650390625,-9.742722009968757,0.3090187124965712,-1.0743659924216569
1776228568100292400,0.195292236328125,-9.716498019909858,0.5212293845472857,-1.219989465169236
1776228568120143400,0.215143310546875,-9.683131172358989,0.7314276573296636,-1.3683460161425172
1776228568139993300,0.234993408203125,-9.633916182813048,0.9979943350765853,-1.5368980176001785
1776228568159844600,0.2548447265625,-9.578760112780332,1.3021264080427586,-1.6499106487959623
1776228568179695600,0.274695556640625,-9.534462121370435,1.59858962688148,-1.64588197780177
1776228568199546600,0.294546630859375,-9.50774479483664,1.7925800209783016,-1.5999480557531118
1776228568219397600,0.314397705078125,-9.49825157482624,1.7934221708908675,-1.654459982663393
1776228568239248600,0.33424853515625,-9.521253095707296,1.6498254547305404,-1.6715848665960131
1776228568259099400,0.354099365234375,-9.569715805581211,1.4793646970421075,-1.54996909609735
1776228568278950400,0.373950439453125,-9.629062313041091,1.2700650901325046,-1.3559059290252624
1776228568298801400,0.393801513671875,-9.683177349588274,1.0030006189312786,-1.1834084048122167
1776228568318652700,0.413652587890625,-9.733356215730309,0.6914814313884824,-0.9767371736448257
1776228568338503700,0.433503662109375,-9.770340084734558,0.35467381760384886,-0.7648856902953237
1776228568358354700,0.453354736328125,-9.786252524137497,-0.014810181816038675,-0.6320015798725187
1776228568378205400,0.473205322265625,-9.771876792782544,-0.4514898586930707,-0.6906227687325328
1776228568398056400,0.493056396484375,-9.725731127679348,-0.9105522715322673,-0.8668538534507155
1776228568417907500,0.512907470703125,-9.654300799193978,-1.3330579912707208,-1.0898712392631917
1776228568437758500,0.532758544921875,-9.57387818595767,-1.639001570638269,-1.3508933615602552
1776228568457609500,0.552609375,-9.487402848553657,-1.9029826158061622,-1.5931801690533756
1776228568477460700,0.572460693359375,-9.38905470252633,-2.157493091186881,-1.8333735113985836
1776228568497311500,0.5923115234375,-9.278985139045119,-2.4040827104404565,-2.07152292682603
1776228568517161700,0.61216162109375,-9.157917211687565,-2.642973884145915,-2.305996576350182
1776228568537012500,0.632012451171875,-9.026775049561262,-2.874389899665117,-2.5348759129986167
1776228568556863500,0.651863525390625,-8.886123885333538,-3.100990331596136,-2.7551854280918837
1776228568576714500,0.671714599609375,-8.73822581871748,-3.318281667912006,-2.9669515712454912
1776228568596565500,0.6915654296875,-8.584121883198618,-3.528318795315921,-3.167681064338982
1776228568616416500,0.71141650390625,-8.425431788933277,-3.732296768811345,-3.354466787753999
1776228568636267500,0.731267578125,-8.264124205645919,-3.9304727780297397,-3.525056870910525
1776228568656118300,0.7511181640625,-8.103032895457744,-4.123218871153891,-3.6756373084783553
1776228568675969300,0.77096923828125,-7.944867117327451,-4.310936322461068,-3.803326407541334
1776228568695820300,0.7908203125,-7.792398089534044,-4.493010799445211,-3.906631883715093
1776228568715671300,0.81067138671875,-7.648037549394369,-4.669350239908695,-3.9843548826038835
1776228568735522600,0.8305224609375,-7.513627909904718,-4.8394458175465465,-4.036773344366252
1776228568755373600,0.85037353515625,-7.390839734625816,-5.002141932582855,-4.065027378948033
1776228568775224300,0.870224365234375,-7.28135586207807,-5.156912807577848,-4.069212847939133
1776228568795075300,0.890075439453125,-7.18650198790729,-5.303375288432836,-4.049540179219842
1776228568814926300,0.90992626953125,-7.107175353214144,-5.440995706662536,-4.006745578110218
1776228568834777300,0.92977734375,-7.044447386622428,-5.5684390142709015,-3.9419071952357885
1776228568854628400,0.94962841796875,-6.999432186853885,-5.684431538060307,-3.855590555524826
1776228568874478300,0.969478271484375,-6.972960944035649,-5.787122097206115,-3.7493230146750807
1776228568894329300,0.989329345703125,-6.974881098443269,-5.866920441064238,-3.6194834595799446
1776228568914180400,1.009180419921875,-8.240631101855636,-4.305904758034647,-3.117943219962716
1776228568934031400,1.02903125,-9.805013923230767,0.018606313562835566,-0.17814325674874706
1776228568953882400,1.04888232421875,-9.601607904404402,1.3969295749396085,1.4241114502452312
1776228568973733400,1.0687333984375,-9.700048404890298,0.9383278018821031,1.0949823717318474
