time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1776228567981186600,0.0761865234375,0.3855041353727947,0.05264013179199355,0.18988689931705086,-0.058286795927910126,0.9802022075186714,-0.019380859876106788,0.09598291340381644
1776228568001037600,0.09603759765625,0.3867264364395936,0.048159530905799414,0.19055110784690554,-0.06349192543656906,0.9802282299022808,-0.0228835357491206,0.08579892604824874
1776228568020888600,0.115888671875,0.3872992909944034,0.03859687469190496,0.1911037747960972,-0.07017082609698669,0.9804064685774343,-0.02815839046653602,0.06496458823387251
1776228568040739600,0.135739501953125,0.38551859397958405,0.023920278771914306,0.19075193779279373,-0.07816653226992074,0.9807175500978855,-0.035136219252925864,0.033519747201676074
1776228568060590600,0.155590576171875,0.3807402638218063,0.007663112643342184,0.18907001207619223,-0.09231108693110215,0.980878534228861,-0.04551128885402385,-0.002176476190347635
1776228568080441600,0.175441650390625,0.3744325520160173,-0.005244223697782913,0.1866706658533401,-0.10982994805263938,0.9807622808362306,-0.056850029230608,-0.03151635638303715
1776228568100292400,0.195292236328125,0.36871307279318205,-0.014646328773109282,0.18452306031974527,-0.12490492557968931,0.9804869900027928,-0.0661964303806347,-0.05317566228560297
1776228568120143400,0.215143310546875,0.3642711976028183,-0.023916268976225924,0.18313236459043242,-0.1403828395063426,0.9798800551800714,-0.07566852387390648,-0.07465418638817742
1776228568139993300,0.234993408203125,0.36629904889498405,-0.03556866973291906,0.18528057741462908,-0.1581968938861204,0.9781943212028561,-0.08684386101038229,-0.10194358588296532
1776228568159844600,0.2548447265625,0.36174746772013705,-0.04992452397448139,0.1844134794941885,-0.17057302382042178,0.9769199760109588,-0.0955337090233786,-0.13317322827221365
1776228568179695600,0.274695556640625,0.3563394285925742,-0.0651123220487134,0.18286079397169921,-0.17093985368075182,0.9760554715581201,-0.09817384579816267,-0.16374147713220225
1776228568199546600,0.294546630859375,0.35382273238819195,-0.07544590167898604,0.18216140093566238,-0.1667164394186363,0.975488258703462,-0.0977130977186795,-0.18382584964712437
1776228568219397600,0.314397705078125,0.35665492436762347,-0.07482316626866028,0.18376092580114556,-0.17245549554320727,0.9749399877891212,-0.10062522837164012,-0.1839131937722589
1776228568239248600,0.33424853515625,0.35835783226799384,-0.06734200147658782,0.18412461841036395,-0.173792401547936,0.9754727278366159,-0.10008114749734906,-0.1690392574826016
1776228568259099400,0.354099365234375,0.3562724531253445,-0.06003622059957361,0.1820893427963005,-0.16057164920219735,0.9771198749324502,-0.09206484121192715,-0.15143131479519525
1776228568278950400,0.373950439453125,0.35353791182669064,-0.05146040550315366,0.17951468453629704,-0.1398941120170566,0.9791425692788547,-0.08003927127982538,-0.1298754034166174
1776228568298801400,0.393801513671875,0.3531426240777355,-0.03965654117441735,0.1781638841186315,-0.12160976590481097,0.980796700928002,-0.06872209296961077,-0.10245676018530865
1776228568318652700,0.413652587890625,0.355892028127231,-0.02583471735841579,0.17841262415191425,-0.10001465470261346,0.9820550683964357,-0.05540318271822538,-0.07057004477186292
1776228568338503700,0.433503662109375,0.3608123579913899,-0.010772975056622409,0.1799578466047172,-0.07812715282425116,0.9827328000728469,-0.04165628715265527,-0.036174552495232125
1776228568358354700,0.453354736328125,0.36457927692997866,0.006586716254304876,0.18116350880553334,-0.06449099057242391,0.9829241631565624,-0.03156890404653515,0.0015102188460683122
