time,seconds_elapsed,z,y,x
1776228663875490800,0.08149072265625,-0.7792775690674781,0.19347411513775586,0.06917772725299
1776228663895341800,0.101341796875,-0.4044423859119415,0.3035115299150348,0.08803528019711375
1776228663915191800,0.12119189453125,-0.12539046673178672,0.22871143273562192,0.27659035137221216
1776228663935043000,0.14104296875,0.6012848084390163,0.0994143139541149,0.08501578624546527
1776228663954894000,0.16089404296875,0.23848843812346457,0.1042094392761588,0.34735900107845663
1776228663974744000,0.180744140625,-0.5645803408980369,0.1614002300068736,-0.15060571813955903
1776228663994595000,0.200594970703125,-0.6174649588674307,0.17173837640881537,-0.4719187160745263
1776228664014446000,0.220446044921875,-0.18774784644544124,0.15016045859009028,-0.34033363248631354
1776228664034296000,0.240296142578125,0.2923106292039156,0.04386807556003332,-0.16955884041264652
1776228664054147000,0.26014697265625,0.3305354381799698,0.06794307089149952,-0.005100099617987871
1776228664073998000,0.279998046875,0.08507190034687519,0.06670300770252943,-0.11348770136162638
1776228664093848000,0.29984814453125,-0.43080899931192396,0.10242401716411113,-0.16252397333979607
1776228664113699000,0.319698974609375,-0.2778092256426811,0.10034370375871658,-0.4064320984244346
1776228664133549800,0.3395498046875,0.11424304977357387,-0.00014759177714586256,0.0055669864773750305
1776228664153400000,0.359400146484375,0.07276829909086227,0.10671528461724519,0.18338000662475823
1776228664173250800,0.379250732421875,0.3455705102264881,0.09657499887496232,0.061857759628444905
1776228664193101800,0.399101806640625,0.373338807117939,0.1488862008705735,0.16554646296612918
1776228664212951800,0.418951904296875,0.1546791050583124,0.4272171122997999,0.3873422710943967
1776228664232802800,0.438802734375,0.1168517709672451,0.213502173165977,0.21035729926899074
1776228664252654000,0.458654052734375,0.16174305209517478,0.04384674051105976,-0.1726742690194398
1776228664272504000,0.478504150390625,0.5238099390923977,-0.15714403386712072,-0.3256063112147152
1776228664292355000,0.49835498046875,0.9351678034812212,-0.17563333802074194,-0.24325915965661404
1776228664312206000,0.5182060546875,0.5710094971626997,0.02285831301808357,-0.04525814167894423
1776228664332056000,0.53805615234375,0.15659867494404314,0.011519172880053519,-0.040410044060647486
1776228664351907000,0.557906982421875,0.03594049743115902,-0.12019698974192142,-0.2914951481025666
1776228664371758000,0.577758056640625,0.019348843592405317,-0.16612141330987215,-0.3461613157264888
1776228664391608000,0.597608154296875,-0.6105027186393738,-0.00029109190106391906,-0.36554413465373214
1776228664411459000,0.617458984375,-0.39920390073657036,0.06665069299340248,-0.45324419154711065
