time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1776228663875490800,0.08149072265625,-1.9371336099193666,-0.20795275094641594,0.7846617771433795,0.1854826092170379,-0.5660490735880099,0.14370129522551925,0.47905048376803033
1776228663895341800,0.101341796875,-1.940699657417139,-0.2089719661815294,0.7853173982317869,0.1885533123289965,-0.5648618523989739,0.14331182440072232,0.4793146013283709
1776228663915191800,0.12119189453125,-1.943348906798312,-0.21002295525623504,0.785690058403153,0.1911568362427514,-0.5639841599215774,0.14319016768926898,0.4801423362539981
1776228663935043000,0.14104296875,-1.945701733510754,-0.20926668668658624,0.7865114876285179,0.1896860669570408,-0.5629547998872427,0.14383675011473956,0.48010677756879777
1776228663954894000,0.16089404296875,-1.9466682393000625,-0.20628613830713158,0.7876062032165363,0.18296745792246677,-0.5621181727370694,0.14541525364799618,0.4790927797729634
1776228663974744000,0.180744140625,-1.9462862965180876,-0.2032659024143868,0.7883286828811931,0.1756997006459995,-0.5617585705428448,0.1471333870133339,0.4783912932896228
1776228663994595000,0.200594970703125,-1.9462048652855546,-0.20199938722322572,0.7886097330645854,0.17218325324984865,-0.5615172631666627,0.148287669064226,0.47882257352184204
1776228664014446000,0.220446044921875,-1.9468574211299117,-0.20188299641140314,0.7887615948549797,0.1714036210341152,-0.5611729677421212,0.14894079111799263,0.47973049854019595
1776228664034296000,0.240296142578125,-1.9477438429681346,-0.20156962461465483,0.7890246459688762,0.1701711979646909,-0.5607019838472356,0.14974360523417604,0.48063662720261696
1776228664054147000,0.26014697265625,-1.9484356075660003,-0.20011700289152648,0.7895377799967359,0.16616351756510045,-0.5601047061249536,0.1512147261247467,0.48132318409162667
1776228664073998000,0.279998046875,-1.948850237705993,-0.1979717761751345,0.7901364719537998,0.16019357863670625,-0.5594550903604093,0.1533022402116141,0.4822480526630483
1776228664093848000,0.29984814453125,-1.9491668155197268,-0.19613868663788156,0.790553632379541,0.1541118129211096,-0.5587799332620879,0.15594759220344406,0.4845007138566544
1776228664113699000,0.319698974609375,-1.9509303818715544,-0.1955272258139361,0.7909902052927001,0.15080630423914715,-0.5577068190752688,0.15832478301328126,0.48766056241203576
1776228664133549800,0.3395498046875,-1.9537830717046771,-0.19516615567991208,0.7916701972723155,0.14869027772726093,-0.5563092160381949,0.16027600821455154,0.4903298955151255
1776228664153400000,0.359400146484375,-1.9560214533337954,-0.1946130156944382,0.7922426332163086,0.14606907795654636,-0.5551148928926408,0.16224940608876928,0.49285946448296464
1776228664173250800,0.379250732421875,-1.9579036595820316,-0.1936147247866763,0.792854054788367,0.1425565184682475,-0.5540009354219313,0.16425223298360225,0.49494309416171894
1776228664193101800,0.399101806640625,-1.959615536370911,-0.19167082822974418,0.7936812151595701,0.13703001932809947,-0.5528052572912062,0.1665493572659003,0.4964276744236037
1776228664212951800,0.418951904296875,-1.9601533878289499,-0.18914386688518048,0.7943388664516168,0.12977937742819462,-0.5519204380931632,0.16921670409035486,0.49793867854473717
1776228664232802800,0.438802734375,-1.9589840507499612,-0.18658781546168957,0.7945314351639639,0.12178414185655954,-0.5516168482830961,0.1721151411765105,0.4999159153089223
1776228664252654000,0.458654052734375,-1.9571910629813443,-0.18459448435150672,0.794475068892636,0.11563437512586344,-0.551746576144363,0.1740979582521711,0.5010328845616125
